train_speed_kmh,distance_to_obstacle_km,environmental_condition,weather_alert,signal_quality_percent,severity_score,obstruction_type,alternative_route_available,communication_latency_ms,axle_balance,ahead_section_status,known_train_schedule,distance_from_station_km,sensor_type,time_to_obstacle_min,braking_distance_required_km,effective_distance_km,safe_stopping_possible,rule_label,label,label_noised
125.3,13.28,heavy_rain,True,64.0,3,sensor_miscount,True,1806,,CLEAR,True,6.43,axle_counter,6.36,5.024,13.217,True,reduce_speed,reduce_speed,False
99.8,7.44,clear,False,53.8,6,stranded_vehicle,True,1495,1.0257,CLEAR,False,24.51,accelerometer,4.47,1.992,7.399,True,reduce_speed,reduce_speed,False
56.6,4.7,heavy_rain,True,52.5,1,environmental_false_positive,False,453,,OCCUPIED,True,3.28,track_circuit,4.98,1.025,4.693,True,reduce_speed,reduce_speed,False
198.6,1.86,fog,False,31.9,8,fallen_tree,True,1992,1.029,CLEAR,True,19.06,track_circuit,0.56,8.677,1.75,False,reroute,reroute,False
72.1,2.21,clear,False,77.0,2,cattle_crossing,True,1986,1.0121,CLEAR,True,16.12,vibration,1.84,1.04,2.17,True,proceed_with_caution,proceed_with_caution,False
84.6,19.2,flood,True,73.2,7,track_buckling,True,129,,CLEAR,True,5.28,vibration,13.62,2.433,19.197,True,reroute,reroute,False
81.6,15.81,fog,False,76.8,4,cattle_crossing,True,100,1.0406,CLEAR,True,23.42,axle_counter,11.63,1.465,15.808,True,proceed_with_caution,proceed_with_caution,False
185.7,5.05,heavy_rain,True,95.9,7,boulder,False,527,1.0624,CLEAR,True,5.43,vibration,1.63,11.035,5.023,False,emergency_stop,emergency_stop,False
163.4,10.68,clear,False,63.1,8,boulder,True,1599,,OCCUPIED,True,13.13,vibration,3.92,5.34,10.607,True,reduce_speed,reduce_speed,False
115.9,14.34,rain,False,91.7,9,broken_rail,False,1216,0.9504,CLEAR,True,19.87,axle_counter,7.42,3.493,14.301,True,emergency_stop,emergency_stop,False
193.1,7.18,clear,False,61.1,8,fallen_tree,False,1050,,CLEAR,True,19.21,accelerometer,2.23,7.458,7.124,False,emergency_stop,emergency_stop,False
53.2,8.91,snow,False,63.4,6,boulder,False,860,1.045,OCCUPIED,True,8.33,vibration,10.05,1.075,8.897,True,reduce_speed,emergency_stop,True
183.5,14.42,rain,False,74.3,8,unknown_obstruction,False,985,1.0319,CLEAR,True,21.06,vibration,4.71,8.755,14.37,True,reduce_speed,reduce_speed,False
54.4,4.7,heavy_rain,False,45.1,7,landslide_debris,True,1293,0.9549,CLEAR,True,24.07,track_circuit,5.18,0.947,4.68,True,reroute,reroute,False
105.6,10.62,clear,False,45.2,2,cattle_crossing,False,174,1.0468,CLEAR,True,12.11,track_circuit,6.03,2.23,10.615,True,reduce_speed,reduce_speed,False
53.4,4.36,clear,False,65.7,1,cattle_crossing,False,1194,0.9623,CLEAR,True,16.48,track_circuit,4.9,0.57,4.342,True,proceed_with_caution,proceed_with_caution,False
199.8,0.26,rain,False,34.8,8,fallen_tree,True,480,1.0404,OCCUPIED,False,9.43,vibration,0.08,10.379,0.233,False,reroute,reroute,False
186.7,13.87,clear,False,46.6,7,water_logging,True,1587,,CLEAR,True,9.18,vibration,4.46,6.971,13.788,True,reroute,reroute,False
135.6,14.2,heavy_rain,True,85.5,8,landslide_debris,False,431,,CLEAR,True,12.01,track_circuit,6.28,5.884,14.184,True,reduce_speed,reduce_speed,False
78.8,19.92,rain,False,62.5,2,sensor_miscount,False,188,0.9678,CLEAR,True,5.33,axle_counter,15.17,1.614,19.916,True,proceed_with_caution,proceed_with_caution,False
87.9,3.78,fog,False,31.9,7,track_buckling,False,898,1.008,OCCUPIED,True,17.39,track_circuit,2.58,1.7,3.758,True,reduce_speed,reduce_speed,False
114.7,14.84,clear,False,34.3,8,track_buckling,True,909,,OCCUPIED,False,4.56,track_circuit,7.76,2.631,14.811,True,reroute,reroute,False
95.0,18.97,flood,False,94.4,5,fallen_tree,True,1061,0.9372,CLEAR,True,0.63,accelerometer,11.98,3.068,18.942,True,reduce_speed,reduce_speed,False
48.3,12.96,snow,True,97.0,7,unknown_obstruction,False,1727,1.0361,OCCUPIED,True,11.27,axle_counter,16.1,0.886,12.937,True,reduce_speed,reduce_speed,False
146.7,19.27,heavy_rain,False,74.9,3,environmental_false_positive,True,1415,,CLEAR,True,2.37,track_circuit,7.88,6.887,19.212,True,proceed_with_caution,proceed_with_caution,False
140.1,19.89,clear,False,42.9,8,equipment_failure_ahead,False,757,1.0516,OCCUPIED,True,14.28,axle_counter,8.52,3.926,19.861,True,reduce_speed,reduce_speed,False
