train_speed_kmh,distance_to_obstacle_km,environmental_condition,weather_alert,severity_score,obstruction_type,alternative_route_available,communication_latency_ms,signal_quality_percent,sensor_type,axle_balance,ahead_section_status,known_train_schedule,distance_from_station_km,create_repair_defect,corridor,action
51,14.831,fog,True,3,boulder,False,4477,11,accelerometer,0.0,CLEAR,True,1.327,True,HYB-SEC,reduce_speed
116,16.189,rain,True,7,unknown_obstruction,False,2286,19,axle_counter,95.72,CLEAR,True,17.949,False,KOL-HOW,reduce_speed
182,2.497,fog,False,2,stranded_vehicle,False,2972,73,axle_counter,0.0,CLEAR,False,49.261,False,DEL-AGRA,proceed_with_caution
138,3.253,rain,True,6,unknown_obstruction,False,594,77,axle_counter,0.0,CLEAR,True,49.476,False,HYB-SEC,reduce_speed
59,4.581,rain,True,4,stranded_vehicle,True,4656,91,vibration,21.26,CLEAR,False,22.943,False,MUM-PUNE,proceed_with_caution
194,8.569,heavy_rain,True,4,track_buckling,False,754,96,track_circuit,0.0,CLEAR,False,21.108,True,CHN-BGLR,reduce_speed
109,19.422,rain,False,1,unknown_obstruction,True,4408,96,vibration,76.86,CLEAR,True,22.686,False,KOL-HOW,proceed_with_caution
174,18.253,snow,False,4,environmental_false_positive,False,1639,19,vibration,0.0,CLEAR,True,5.593,False,KOL-HOW,proceed_with_caution
190,18.939,clear,True,5,boulder,False,4373,98,axle_counter,12.84,OCCUPIED,True,26.384,False,MUM-PUNE,proceed_with_caution
96,14.259,snow,True,6,water_logging,False,4249,57,track_circuit,0.0,CLEAR,True,11.506,False,DEL-AGRA,reduce_speed
62,18.108,clear,False,2,fallen_tree,True,3986,27,axle_counter,72.34,CLEAR,True,20.353,True,CHN-BGLR,proceed_with_caution
58,13.467,rain,False,2,cattle_crossing,False,905,31,axle_counter,19.02,CLEAR,True,23.131,False,DEL-AGRA,proceed_with_caution
185,1.958,snow,False,5,landslide_debris,False,1946,21,accelerometer,0.0,OCCUPIED,False,8.232,True,CHN-BGLR,emergency_stop
161,5.705,snow,False,6,equipment_failure_ahead,False,3996,19,axle_counter,0.0,CLEAR,True,37.399,True,HYB-SEC,reduce_speed
180,3.149,flood,False,2,track_buckling,True,566,86,axle_counter,0.0,CLEAR,True,4.099,False,HYB-SEC,proceed_with_caution
97,13.395,flood,True,4,track_buckling,False,2467,58,vibration,0.0,CLEAR,True,28.15,True,HYB-SEC,proceed_with_caution
134,17.617,clear,False,4,track_buckling,False,4460,90,vibration,0.0,CLEAR,True,46.588,True,MUM-PUNE,proceed_with_caution
186,3.109,flood,True,3,water_logging,True,2172,64,accelerometer,0.0,CLEAR,True,13.834,True,MUM-PUNE,proceed_with_caution
158,11.034,clear,False,1,boulder,False,1231,69,track_circuit,0.0,CLEAR,True,18.233,False,DEL-AGRA,proceed_with_caution
108,13.339,clear,False,5,cattle_crossing,False,1276,30,axle_counter,0.0,OCCUPIED,True,36.828,False,CHN-BGLR,proceed_with_caution
108,5.336,snow,False,2,landslide_debris,False,1832,25,accelerometer,0.0,CLEAR,True,19.923,False,DEL-AGRA,proceed_with_caution
175,7.994,clear,False,5,landslide_debris,True,2149,22,vibration,3.83,CLEAR,False,21.82,False,DEL-AGRA,reroute
110,0.888,heavy_rain,True,5,equipment_failure_ahead,False,1624,46,accelerometer,7.0,CLEAR,True,6.231,False,HYB-SEC,reduce_speed
